delivery_year,lda,vrr_design,cetl_mw,reliability_req_mw,net_cone,vrr_pt_a_price,vrr_pt_b_price,vrr_pt_c_price,vrr_pt_d_price,vrr_pt_a_mw,vrr_pt_b_mw,vrr_pt_c_mw,vrr_pt_d_mw
2021/22,RTO,old,,153160.80000000002,321.57,482.36,241.18,0.0,,156809.19999999998,160909.3,168712.9,
2021/22,MAAC,old,4019.0,64919.0,292.69,439.04,219.52,0.0,,66148.8,67886.7,71194.29999999999,
2021/22,EMAAC,old,9000.0,35994.0,313.77,470.66,235.33,0.0,,36864.200000000004,37827.8,39661.700000000004,
2021/22,SWMAAC,old,9082.0,15259.0,264.88,410.34,198.66,0.0,,15463.800000000001,15872.300000000001,16649.8,
2021/22,PS,old,6902.0,11501.0,330.61,495.92,247.96,0.0,,11858.5,12166.4,12752.4,
2021/22,PS NORTH,old,3180.0,5810.0,330.61,495.92,247.96,0.0,,5883.8,6039.3,6335.3,
2021/22,DPL SOUTH,old,1624.0,2907.0,300.18,450.27,225.14,0.0,,2919.2,2997.0,3145.1,
2021/22,PEPCO,old,6915.0,8073.0,285.42,428.13,214.07,0.0,,8178.200000000001,8394.300000000001,8805.6,
2021/22,ATSI,old,8439.0,15598.0,306.87,460.31,230.15,0.0,,15825.7,16243.2,17037.899999999998,
2021/22,ATSI-Cleveland,old,5256.0,5258.0,306.87,460.31,230.15,0.0,,5298.799999999999,5439.599999999999,5707.5,
2021/22,COMED,old,5574.0,26112.0,344.36,516.54,258.27,0.0,,26910.0,27609.0,28939.399999999998,
2021/22,BGE,old,6005.0,7910.0,244.33,410.34,183.25,0.0,,8008.400000000001,8220.2,8623.2,
2021/22,PL,old,6609.0,9974.0,300.72,451.08,225.54,0.0,,10060.8,10327.8,10836.0,
2021/22,DAYTON,old,3502.0,3979.0,312.56,468.84,234.42,0.0,,4082.7999999999997,4189.3,4392.099999999999,
2021/22,DEOK,old,4959.0,7129.0422,312.8,469.2,234.6,0.0,,7240.099999999999,7431.0,7794.2,
2022/23,RTO,old,,132256.6,260.5,390.75,195.38,0.0,,136075.5,139656.3,146471.2,
