"mcpi","project","owner","ownership_cat","lon","lat","overall_sqft","built_status","zoning","place_type","policy_area","gis_acres","n_buildings","total_bldg_sqft","earliest_permit","latest_permit","earliest_year","n_built","n_under_construction","addresses"
"030297084000","NOKES PLAZA","MEDINA DC 2 ASSETS LLC","Private",-77.412994,39.023213,88490,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",6.2378251182094,1,88490,"1997-12-18","1997-12-18",1998,1,0,"45901 NOKES BLVD"
"030391106000","NOKES PLAZA","MEDINA DC 2 ASSETS LLC","Private",-77.415243,39.023785,76811,"BUILT","PDIP","SUBURBAN EMPLOYMENT","SUBURBAN",6.01739933615408,1,76811,"2000-06-01","2000-06-01",1999,1,0,"45845 NOKES BLVD"
"045279612000","ALIGNED ENERGY","ALIGNED DATA CENTERS RELO PROPCO LLC","Private",-77.440756,38.988357,304166,"BUILT","OP","SUBURBAN INDUSTRIAL/MINERAL EXTRACTION","SUBURBAN",10.177286638382,1,304166,"2022-10-13","2022-10-13",2024,1,0,"22715 RELOCATION DR"
"042295813000","STAVERTON/SEVERN","ELECTRIC BUILDING LLC","Private",-77.434422,39.021153,36000,"BUILT","PDIP","SUBURBAN MIXED USE","SUBURBAN",2.75415401905417,1,36000,"2014-10-07","2014-10-07",2018,1,0,"1304 SQUIRE CT"
"060298548000","BEAUMEADE","RAGINGWIRE DATA CENTERS INC","Private",-77.455232,39.022159,109320,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",7.19596657740073,1,109320,"","",2012,1,0,"44664 GUILFORD DR"
"060108050000","BEAUMEADE","BEAUMEADE TECHNOLOGY PARTNERS LLC","Private",-77.451464,39.020462,152504,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",10.7048113716888,1,152504,"2011-06-29","2011-06-29",2011,1,0,"21551 BEAUMEADE CIR"
"030399036000","LOUDOUN TECH CENTER","MEDINA DC 2 ASSETS LLC","Private",-77.413192,39.024998,136482,"BUILT","PDIP","SUBURBAN MIXED USE","SUBURBAN",8.49226033715614,1,136482,"2001-02-12","2001-02-12",2001,1,0,"21110 RIDGETOP CIR"
"060202337000","BEAUMEADE","MONTEREY DC ASSETS LLC","Private",-77.45422,39.021156,164405,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",14.0106102567615,2,164405,"1999-11-24","1999-11-24",2000,2,0,"21561 BEAUMEADE CIR; 21571 BEAUMEADE CIR"
"044174648000","BROAD RUN TECHNOLOGY PARK","VERISIGN INC","Private",-77.444469,38.997705,136908,"BUILT","IP","SUBURBAN EMPLOYMENT","SUBURBAN",14.4704439510827,1,136908,"2000-06-20","2000-06-20",2001,1,0,"22340 DRESDEN ST"
"089372808000","DIGITAL REALTY CAMPUS 1","G I P STOUGHTON LLC","Private",-77.485136,39.003287,135000,"BUILT","OP","URBAN TRANSIT CENTER","URBAN",6.75890931959388,1,135000,"2000-12-06","2000-12-06",2001,1,0,"43831 DEVIN SHAFRON DR"
