year,n_parcels,total_bldg_sqft,cumulative_parcels,cumulative_sqft
1997,3,1047794,3,1047794
1999,3,415845,6,1463639
2000,6,862035,12,2325674
2001,1,136482,13,2462156
2003,1,69800,14,2531956
2006,1,286865,15,2818821
2007,2,685359,17,3504180
2008,2,754828,19,4259008
2009,1,133560,20,4392568
2010,1,240326,21,4632894
2011,3,331351,24,4964245
2012,2,1047613,26,6011858
2013,3,2018442,29,8030300
2014,5,595102,34,8625402
2015,4,2041824,38,10667226
2016,3,1429129,41,12096355
2017,7,3696358,48,15792713
2018,11,3926164,59,19718877
2019,10,4244289,69,23963166
2020,11,4719050,80,28682216
2021,6,2359979,86,31042195
2022,12,6425049,98,37467244
2023,10,3344084,108,40811328
2024,7,2092693,115,42904021
2025,15,5771794,130,48675815
