"year","re_rate","rate_diff","annual_savings","cumulative_savings"
2012,1.145,0,0,0
2013,1.135,0.01,73.8730000000001,73.8730000000001
2014,1.125,0.02,147.746,221.619
2015,1.11,0.0349999999999999,258.555499999999,480.1745
2016,1.085,0.0600000000000001,443.238,923.4125
2017,1.045,0.1,738.730000000001,1662.1425
2018,1.035,0.11,812.603000000001,2474.7455
2019,0.98,0.165,1218.9045,3693.65
2020,0.94,0.205,1514.3965,5208.0465
2021,0.89,0.255,1883.7615,7091.808
2022,0.87,0.275,2031.5075,9123.3155
2023,0.865,0.28,2068.444,11191.7595
2024,0.84,0.305,2253.1265,13444.886
2025,0.805,0.34,2511.682,15956.568
